,Unnamed: 0,Unnamed: 0.1,author,text,whom,context,level,post,ages,sex,label,полная дата,дубликаты,"Возраст, лет",возраст лейбл,благо 153,мерси 2,пасиб 41,спс 105,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,6/24/2023,sentiment
0,0,0,85799398,"Спс за комментарий под картинкой, а то не знал как себя вести и тут понял в каком векторе мне двигаться . Я было чуть не растерялся , но теперь то все ясно. Огромное спасибо!",post,post,1,28031114,3.7,2,спс,,,,,,,,,,,,,,,,1
1,1,1,680444792,"Всем привет, напишите в лс, просто сообщения коплю, заранее благодарен",post,post,1,28030202,22.9,2,благо,,,,,,,,,,,,,,,,0
2,2,2,687244767,А вот и красная фигня для борща спс,post,post,1,28015863,27.8.2006,1,спс,1.0,,"16,8",1.0,,,,,,,,,,,,0
3,3,3,284405237,Пасибо,post,post,1,28014015,14.10.2002,2,пасибо,1.0,,"20,7",2.0,,,,,,,,,,,,1
4,4,4,655993189,спс,post,post,1,28014015,8.10,1,спс,,,,,,,,,,,,,,,,1
5,5,5,558778929,Те самые левши: ммм пасиба,post,post,1,27986276,12.8.2007,1,пасибо,1.0,,"15,9",1.0,,,,,,,,,,,,0
6,6,6,85799398,"Спс за доп комментарий. Не знал как реагировать , уже руки опускались, думал что всё, это конец. Ведь у меня 0.5 классов образования , я не могу сам решить как реагировать, но все изменилось, как только я увидел комментарий под постом с реакцией и теперь моя жизнь сияет новыми красками ! Спасибо папаша , за этот новый Рено Логан 20 века",post,post,1,27984919,3.7,2,спс,,,,,,,,,,,,,,,,0
7,7,7,85799398,"Спс за картинку в конце, не знал как реагировать даже",post,post,1,27982173,3.7,2,спс,,,,,,,,,,,,,,,,0
8,8,8,523050027,У кого Теле2 кто может передать Гиги пиши в ЛС буду благодарен за помощь,post,post,1,27946404,23.7.2006,2,благо,1.0,,"16,9",1.0,,,,,,,,,,,,0
9,9,9,755166940,Спс за детство! 😼,post,post,1,27930315,12.2.2001,2,спс,1.0,,"22,4",2.0,,,,,,,,,,,,0
10,10,10,703513890,Кот особенно благодарен :),post,post,1,27922848,,1,благо,,,,,,,,,,,,,,,,1
11,11,11,481384714,Благодарю бро,post,post,1,27881247,,2,благо,,,,,,,,,,,,,,,,0
12,12,12,711832819,Благодарю тебя спрайт я теперь в себя верю спасибо,post,post,1,27865708,10.2,2,благо,,,,,,,,,,,,,,,,1
13,13,13,763520467,Спс за понос 💋,post,post,1,27864174,14.8.2006,2,спс,1.0,,"16,9",1.0,,,,,,# юзеров,,,,,,0
14,14,14,363995357,Спс,post,post,1,27860116,29.11.1988,2,спс,1.0,,"34,6",3.0,,,,,0-18,53,,,,,,0
15,15,15,649369639,спс,post,post,1,27854350,24.10,1,спс,,,,,,,,,,,,,,,,1
16,16,16,755166940,Спс птичкам от Владика! 😹,post,post,1,27850448,12.2.2001,2,спс,1.0,,"22,4",2.0,,,,,18-30,79,,,,,,0
17,17,17,518633675,Спс я теперь жрать хочу,post,post,1,27782886,17.1.2005,2,спс,1.0,,"18,4",2.0,,,,,30+,18,,,,,,1
18,18,18,772894056,спс калининград,post,post,1,27768640,7.5.2008,1,спс,1.0,,"15,1",1.0,,,,,,,,,,,,0
19,19,19,716784314,Пасиба бро,post,post,1,27745343,5.4.2003,1,пасибо,1.0,,"20,2",2.0,,,,,,,,,,,,0
20,20,20,183519216,Спс за веселье🤣🤣🤣,post,post,1,27723988,13.3.1971,2,спс,1.0,,"52,3",3.0,,,,,,,,,,,,0
21,21,21,755166940,Спс ребята ! 😼,post,post,1,27705806,12.2.2001,2,спс,1.0,,"22,4",2.0,,,,,,,,,,,,0
22,22,22,236289682,"Не, пасибо. У меня кот хороший, мне его достаточно.",post,post,1,27696005,4.9.1998,2,пасибо,1.0,,"24,8",2.0,,,,,,,,,,,,1
23,23,23,573232388,Спс за инфу,post,post,1,27685020,16.8.1952,1,спс,,,,,,,,,,,,,,,,0
24,24,24,90322144,"Как же я безмерно благодарен тупopылым мамашам, которые заклеивают стикерами рожи своих выcepков. Я реально не хочу их видеть",post,post,1,27682651,,2,благо,,,,,,,,,,,,,,,,1
25,25,25,523050027,У кого теле2 кто может передать гиги пишив ЛС буду благодарен за помощь,post,post,1,27667311,23.7.2006,2,благо,1.0,,"16,9",1.0,,,,,,,,,,,,1
26,26,26,539020222,спс,post,post,1,27653376,12.12.2004,2,спс,1.0,,"18,5",2.0,,,,,,,,,,,,1
27,27,27,680614786,"я седня вообще не завтракала, спс",post,post,1,27631137,30.4,1,спс,,,,,,,,,,,,,,,,2
28,28,28,77240993,"Пасиба, без подписи снизу, я б не понял, что она хорошая😌🤝",post,post,1,27619987,21.7,2,пасибо,,,,,,,,,,,,,,,,1
29,29,29,172970065,"Ребят скиньте гигов если не сложно, буду благодарен 89539811929",post,post,1,27617908,5.6,2,благо,,,,,,,,,,,,,,,,0
30,30,30,729954671,"Спс за гайд, помогаете инцелам остаться инцелами",post,post,1,27615014,30.7.2001,2,спс,1.0,,"21,9",2.0,,,,,,,,,,,,2
31,31,31,618262562,Спс,post,post,1,27598341,25.2,1,спс,,,,,,,,,,,,,,,,0
32,32,32,744947547,Благодарю 🙏,post,post,1,27586268,10.9.1975,2,благо,1.0,,"47,8",3.0,,,,,,,,,,,,0
33,33,33,618890681,"Очень рада за человека, и очень благодарна по сути собаки",post,post,1,27578998,20.6.2007,1,благо,1.0,,"16,0",1.0,,,,,,,,,,,,1
34,34,34,523050027,У кого Теле2 кто может передать гиги очень нужно писать в ЛС буду благодарен,post,post,1,27556744,23.7.2006,2,благо,1.0,,"16,9",1.0,,,,,,,,,,,,1
