"index","sex","ages","age_label","sentiment","label","public"
0,"2","3.7",NA,1,"спс",1
1,"2","22.9",NA,0,"благо",1
2,"1","27.8.2006",1,0,"спс",1
3,"2","14.10.2002",2,1,"пасибо",1
4,"1","8.10",NA,1,"спс",1
5,"1","12.8.2007",1,0,"пасибо",1
6,"2","3.7",NA,0,"спс",1
7,"2","3.7",NA,0,"спс",1
8,"2","23.7.2006",1,0,"благо",1
9,"2","12.2.2001",2,0,"спс",1
10,"1","",NA,1,"благо",1
11,"2","",NA,0,"благо",1
12,"2","10.2",NA,1,"благо",1
13,"2","14.8.2006",1,0,"спс",1
14,"2","29.11.1988",3,0,"спс",1
15,"1","24.10",NA,1,"спс",1
16,"2","12.2.2001",2,0,"спс",1
17,"2","17.1.2005",2,1,"спс",1
18,"1","7.5.2008",1,0,"спс",1
19,"1","5.4.2003",2,0,"пасибо",1
20,"2","13.3.1971",3,0,"спс",1
21,"2","12.2.2001",2,0,"спс",1
22,"2","4.9.1998",2,1,"пасибо",1
23,"1","16.8.1952",NA,0,"спс",1
24,"2","",NA,1,"благо",1
25,"2","23.7.2006",1,1,"благо",1
26,"2","12.12.2004",2,1,"спс",1
27,"1","30.4",NA,2,"спс",1
28,"2","21.7",NA,1,"пасибо",1
29,"2","5.6",NA,0,"благо",1
30,"2","30.7.2001",2,2,"спс",1
31,"1","25.2",NA,0,"спс",1
32,"2","10.9.1975",3,0,"благо",1
33,"1","20.6.2007",1,1,"благо",1
34,"2","23.7.2006",1,1,"благо",1
35,"2","27.3.1999",2,0,"спс",1
36,"2","22.12.1991",3,0,"спс",1
37,"1","",NA,0,"спс",1
40,"2","23.7.2006",1,1,"благо",1
41,"2","27.4.2008",1,0,"пасибо",1
42,"2","13.4.2000",2,0,"спс",1
43,"1","",NA,1,"спс",1
44,"2","",NA,0,"благо",1
46,"2","",NA,1,"спс",1
50,"2","19.8.2006",1,0,"пасибо",1
51,"1","24.8.2006",1,1,"благо",1
52,"1","11.10.2000",2,1,"пасибо",1
53,"1","",NA,2,"пасибо",1
54,"2","12.11.2002",2,1,"пасибо",1
58,"2","1.9",NA,1,"спс",1
59,"1","12.5.2008",1,1,"спс",1
60,"2","16.1",NA,0,"спс",1
61,"2","15.6",NA,1,"спс",1
62,"2","9.2.1993",3,0,"благо",1
63,"1","19.3.2008",1,1,"спс",1
64,"1","7.3.2008",1,0,"спс",1
65,"2","",NA,1,"спс",1
66,"2","30.1.1989",3,1,"спс",1
67,"2","17.11.2003",2,1,"благо",1
68,"2","17.6.2004",2,0,"спс",1
69,"2","12.7.1902",NA,1,"благо",1
70,"2","23.11",NA,1,"спс",1
71,"2","10.2.2000",2,0,"пасибо",1
72,"1","31.3.2002",2,1,"спс",1
73,"2","12.10.1991",3,0,"пасибо",1
74,"2","16.7.2003",2,1,"благо",1
75,"2","",NA,0,"благо",1
76,"2","28.11.1989",3,1,"благо",1
77,"2","20.11.2004",2,1,"благо",1
78,"1","4.4.2007",1,1,"спс",1
79,"1","31.8.2002",2,1,"спс",1
80,"1","",NA,0,"спс",1
81,"2","20.10.1994",2,1,"благо",1
82,"1","25.10.2004",2,2,"пасибо",1
83,"2","",NA,0,"спс",1
84,"2","20.9.2006",1,0,"спс",1
85,"2","8.5.2004",2,2,"пасибо",1
86,"2","11.1.2001",2,0,"спс",1
87,"2","",NA,1,"спс",1
88,"2","",NA,2,"благо",1
89,"2","19.4",NA,0,"благо",1
90,"1","28.5.2007",1,0,"спс",1
91,"1","4.8.2006",1,0,"спс",1
93,"2","",NA,2,"благо",1
94,"2","3.4.2006",1,2,"благо",1
96,"1","20.6.2005",2,0,"пасибо",1
97,"2","8.11",NA,0,"пасибо",1
98,"2","7.2.2001",2,0,"благо",1
99,"2","26.1.2007",1,1,"пасибо",1
100,"2","29.6.1998",2,0,"спс",1
101,"2","13.12.2001",2,1,"благо",1
102,"1","8.6",NA,1,"спс",1
103,"2","20.11.2004",2,1,"благо",1
104,"2","26.4.2004",2,0,"спс",1
105,"2","23.6.1999",2,2,"пасибо",1
106,"2","",NA,0,"пасибо",1
107,"2","",NA,0,"спс",1
108,"2","29.4.2006",1,2,"спс",1
109,"2","",NA,0,"благо",1
110,"2","11.9.2000",2,2,"благо",1
111,"2","25.4.2003",2,1,"благо",1
112,"2","27.11.2003",2,0,"спс",1
113,"2","18.3",NA,0,"пасибо",1
114,"2","19.1.2007",1,1,"пасибо",1
115,"2","1.7.2001",2,0,"пасибо",1
116,"2","28.3.1996",2,2,"благо",1
117,"1","",NA,1,"благо",1
118,"1","2.2.2006",1,1,"спс",1
119,"2","1.3.2003",2,0,"благо",1
120,"2","",NA,0,"спс",1
123,"2","1.1.1990",3,1,"благо",1
124,"2","1.8.1991",3,2,"благо",1
125,"2","7.11.2008",1,0,"спс",1
126,"1","16.9.2002",2,0,"спс",1
127,"2","",NA,0,"спс",1
